Brands,SKU,MPN,Name,Type,Description,Short description,Regular price,Sale price,Images,Categories,Tags,Position,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,meta:_dtb_seo_title,meta:_dtb_seo_description
Asgard,EZ10-AD,EZ10-AD,"Asgard 10"" Flat Box (EZ10-AD)",simple,"<p><strong>Asgard 10"" Flat Box (EZ10-AD)</strong> provides professional-grade compound application for drywall contractors requiring consistent performance on flat seams and butt joints. Constructed from high-strength, anodized aluminum alloys, this finishing box is engineered to withstand the daily rigors of active job sites while maintaining precise control over mud output.</p><p>This unit integrates seamlessly into existing tool setups, featuring universal compatibility with most major industry-standard flat box handles and pumps. The intuitive dial adjustment system allows for fine-tuned control over compound thickness, ensuring uniform coverage and professional results on every pass.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Mud Control:</strong> Integrated dial adjustment system enables accurate, consistent compound output for uniform coverage.</li><li><strong>Universal Compatibility:</strong> Engineered to fit standard flat box handles and pumps from most major manufacturers.</li><li><strong>Durable Construction:</strong> Manufactured from high-strength, anodized aluminum alloys for long-term performance under heavy use.</li><li><strong>Rapid Maintenance:</strong> Equipped with quick-release thumb latches for fast, efficient cleaning and blade changes.</li><li><strong>Optimized Application:</strong> Specifically sized for professional base coat application on flat seams and butt joints.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | EZ10-AD | | Box Width | 10 inches | | Material | Anodized Aluminum Alloy | | Compatibility | Standard flat box handles and pumps | | Warranty | 5-Year Limited Warranty |</p>","The Asgard 10"" Flat Box delivers professional-grade drywall finishing with durable, anodized aluminum construction and universal handle compatibility. Featuring precise dial-controlled mud output and quick-release latches for efficient maintenance, it is built for reliable performance on flat seams and butt joints.",344.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_04.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad_05.webp,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard 10 inch flat box, EZ10-AD, drywall finishing tool, flat joint finishing, butt joint tool, automatic taping tool",1,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1,"Asgard 10"" Flat Box (EZ10-AD) | Anodized Aluminum Construction","Professional 10"" drywall flat box by Asgard for $344. Features anodized aluminum construction, universal handle compatibility, and precise mud control."
Asgard,EHC10-AD,EHC10-AD,"Asgard 10"" MaxxBox Finishing Box (EHC10-AD)",simple,"<p><strong>Asgard 10"" MaxxBox Finishing Box (EHC10-AD)</strong> is a high-capacity tool engineered for professional drywall contractors who require consistent, efficient performance on flat seams and butt joints. This finishing box features an optimized reservoir design that holds significantly more joint compound than standard models, allowing for longer runs and fewer trips to the pump. The rugged, anodized aluminum construction ensures long-term durability in demanding job site environments, while the intuitive adjustment dial provides precise control over mud flow and crown settings for a professional-grade finish every time.</p><p>Designed with a pivoting axle, this finishing box automatically compensates for uneven gypsum board surfaces, ensuring uniform compound application even when joints are not perfectly flush. The unit is fully compatible with most major flat box handle brands, making it a versatile addition to any existing professional tool kit. With its focus on an optimal capacity-to-weight ratio, this tool minimizes operator fatigue while maximizing daily output.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Reservoir:</strong> Holds substantially more joint compound than standard boxes, reducing downtime spent on refills.</li><li><strong>Pivoting Axle:</strong> Automatically adjusts to uneven surfaces to maintain consistent mud application across flat and butt joints.</li><li><strong>Precision Crown Control:</strong> Features an easy-to-use dial for granular adjustment of mud output, ideal for transitioning between coating stages.</li><li><strong>Universal Compatibility:</strong> Engineered to integrate seamlessly with most major flat box handle brands.</li><li><strong>Durable Construction:</strong> Built with premium-grade, anodized aluminum to withstand heavy-duty job site wear.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | EHC10-AD | | Box Size | 10 inches | | Construction Material | Anodized Aluminum | | Compatibility | Universal (fits most major handle brands) | | Application | Flat seams and butt joints |</p>","The Asgard 10"" MaxxBox Finishing Box delivers high-capacity compound storage and precision mud control for efficient, professional-grade drywall finishing on flat seams and butt joints.",374.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ehc10-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ehc10-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ehc10-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ehc10-ad_03.webp,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard MaxxBox, 10 inch finishing box, drywall flat box, EHC10-AD, drywall finishing tools, butt joint tool",2,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1,"Asgard 10"" MaxxBox Finishing Box (EHC10-AD) | Anodized Aluminum","Finish flat seams and butt joints faster with the $374 Asgard 10"" MaxxBox. High-capacity anodized aluminum design reduces refills for professional efficiency."
Asgard,PA10-AD,PA10-AD,"Asgard 10"" Power Assist Finishing Box (PA10-AD)",simple,"<p><strong>Asgard 10"" Power Assist Finishing Box (PA10-AD)</strong> optimizes drywall finishing workflows by utilizing a specialized spring-loaded pressure plate to automatically dispense joint compound. This mechanism significantly reduces the physical force required during operation, allowing for consistent, feathered edges on both flat seams and butt joints in a single pass. Designed for high-output environments, this tool maintains professional standards while minimizing operator fatigue over extended shifts.</p><p>Engineered with a durable, anodized aluminum body, the unit balances structural longevity with a manageable weight for daily job site use. The 10-inch width provides versatile coverage for embedding tape and applying finish coats, while the integrated crown control dial allows for precise regulation of compound thickness. A pivoting axle design automatically compensates for surface irregularities, ensuring a uniform finish even on uneven drywall installations.</p><p><strong>Features:</strong></p><ul><li><strong>Power Assist Mechanism:</strong> Integrated reverse springs reduce required manual effort by approximately 50% compared to standard finishing boxes.</li><li><strong>Adjustable Crown Control:</strong> Enables fine-tuned compound output for seamless transitions between embedding and finishing coats.</li><li><strong>Pivoting Axle:</strong> Automatically adjusts to surface variations to maintain consistent contact and edge feathering.</li><li><strong>EasyClean Design:</strong> Features a removable pressure plate for rapid, thorough cleaning at the end of the workday.</li><li><strong>Durable Construction:</strong> Built with anodized aluminum and high-quality components for long-term reliability.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Model | PA10-AD | | Width | 10 inches | | Material | Anodized Aluminum, Stainless Steel | | Compatibility | Standard Flat Box Handles | | Set Includes | 10"" Power Assist Finishing Box |</p>","Asgard 10"" Power Assist Finishing Box reduces operator fatigue by 50% using a spring-loaded pressure plate for consistent, feathered drywall joints.",442.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa10-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa10-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa10-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa10-ad_03.webp,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard PA10-AD, Power Assist Finishing Box, drywall flat box, drywall taping tools, 10 inch finishing box",3,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1,"Asgard 10"" Power Assist Box (PA10-AD) | Anodized Aluminum Body","Finish drywall joints with 50% less effort. The Asgard 10"" Power Assist Box ($442) features an adjustable crown dial and durable anodized aluminum build."
Asgard,AGFLATEXT,AGFLATEXT,"Asgard 10"" and 12"" Flat Box Combo Set (AGFLATEXT)",simple,"<p>Asgard 10"" and 12"" Flat Box Combo Set provides a streamlined, professional-grade solution for drywall finishing, engineered to maximize efficiency on flat seams and butt joints. This comprehensive kit combines essential tools to reduce manual labor and ensure consistent compound application across various stages of the finishing process.</p><p>The system is built for durability and ease of use, featuring high-quality aluminum components and an anodized finish for long-term reliability on demanding job sites. The included extendable handle offers versatile reach, while the loading pump and filler adapter facilitate rapid, mess-free refills to maintain steady production flow.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Size Versatility:</strong> Includes both 10-inch and 12-inch flat boxes to accommodate different finishing stages, from initial fills to final coats.</li><li><strong>Efficient Refill System:</strong> High-performance loading pump and dedicated filler adapter allow for quick, clean transitions between fills.</li><li><strong>Adjustable Reach:</strong> Extendable handle provides precise control and access to high walls and ceilings without the need for constant ladder repositioning.</li><li><strong>Field-Tested Durability:</strong> Constructed with high-quality alloys and an anodized finish to withstand daily professional use.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | AGFLATEXT | | Application | Drywall Seam and Butt Joint Finishing | | Set Includes | 10"" Flat Box, 12"" Flat Box, Loading Pump, Filler Adapter, Extendable Handle | | Model Numbers | EZ10-AD, EZ12-AD, LP01-AD, FA01-AD, FBE-AD |</p>","This professional-grade drywall finishing kit features 10-inch and 12-inch flat boxes, a loading pump, filler adapter, and an extendable handle for efficient, consistent compound application.",1357.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/agflatext.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/agflatext_01.webp,Drywall Finishing Tools > Asgard > Tool Sets & Bundles,"Asgard flat box set, drywall finishing tools, 10 inch flat box, 12 inch flat box, drywall compound applicator, AGFLATEXT",4,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1,"Asgard 10"" & 12"" Flat Box Set (AGFLATEXT) | Aluminum Build","Finish drywall seams efficiently with this $1357 Asgard combo set. Includes 10"" & 12"" flat boxes, pump, filler adapter, and extendable handle for pros."
Asgard,EZ12-AD,EZ12-AD,"Asgard 12"" Flat Box (EZ12-AD)",simple,"<p><strong>Asgard 12"" Flat Box (EZ12-AD)</strong> is a professional-grade finishing tool engineered for high-efficiency drywall applications. This unit is designed for contractors who require reliable, consistent performance when applying base coats to flat seams and butt joints.</p><p>Constructed from high-strength, anodized alloys, this flat box is built to withstand the daily rigors of active job sites. Its universal design ensures seamless compatibility with flat box handles from all major industry manufacturers, allowing for easy integration into existing tool kits. The integrated dial adjustment system provides granular control over mud output, ensuring a uniform finish on every pass, while quick-release thumb latches simplify the cleaning process.</p><p><strong>Features:</strong></p><ul><li><strong>Universal Compatibility:</strong> Fits handles from all major drywall tool brands for maximum versatility.</li><li><strong>Precision Mud Control:</strong> Integrated dial adjustment allows for exact, consistent compound flow.</li><li><strong>Rugged Construction:</strong> Manufactured from high-strength, anodized alloys for long-term durability.</li><li><strong>Rapid Maintenance:</strong> Quick-release thumb latches enable fast disassembly for thorough cleaning.</li><li><strong>Professional Application:</strong> Optimized for finishing flat seams and butt joints efficiently.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | EZ12-AD | | UPC | 0873876004522 | | Tool Width | 12 inches | | Compatibility | Universal (Major Brands) | | Material | Anodized Alloy |</p>","The Asgard 12"" Flat Box (EZ12-AD) is a durable, professional-grade finishing tool designed for flat seams and butt joints. Featuring universal handle compatibility, precision mud flow adjustment, and quick-release latches for efficient maintenance, it provides reliable performance for demanding drywall projects.",327.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_04.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad_05.webp,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard 12 inch flat box, EZ12-AD, drywall finishing tool, flat seam finisher, butt joint tool, drywall compound applicator",5,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1,"Asgard 12"" Flat Box (EZ12-AD) | Anodized Alloy Construction","Finish flat seams and butt joints with the Asgard 12"" Flat Box (EZ12-AD). $327 professional drywall tool with universal handle compatibility and precision."
Asgard,PA12-AD,PA12-AD,"Asgard 12"" Power Assist Finishing Box (PA12-AD)",simple,"<p><strong>Asgard 12"" Power Assist Finishing Box (PA12-AD)</strong> is a professional-grade tool engineered to maximize efficiency during drywall finishing. By utilizing an integrated reverse-spring mechanism, this unit significantly reduces the physical force required to dispense joint compound, allowing for smoother, more consistent passes on flat seams and butt joints while minimizing operator fatigue.</p><p>Constructed from high-grade anodized aluminum with a precision-ground stainless steel blade, this finishing box is built to withstand rigorous daily job site demands. The adjustable crown dial provides granular control over compound thickness, ensuring professional results and reducing the need for secondary sanding or rework.</p><p><strong>Features:</strong></p><ul><li><strong>Power-Assist Mechanism:</strong> Integrated reverse springs actively dispense compound, requiring 50% less manual effort than standard finishing boxes.</li><li><strong>Adjustable Crown Control:</strong> Dial-based adjustment allows for precise fine-tuning of compound thickness to suit specific joint requirements.</li><li><strong>Durable Construction:</strong> Built with high-grade anodized aluminum and a precision stainless steel blade for long-term reliability and consistent edge control.</li><li><strong>Universal Compatibility:</strong> Designed to integrate seamlessly with most major brands of flat box handles.</li><li><strong>Easy Maintenance:</strong> Quick-release thumb latches enable rapid disassembly for thorough cleaning between uses.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | PA12-AD | | Blade Width | 12 inches | | Material | Anodized Aluminum / Stainless Steel | | Application | Drywall Joint Finishing | | Warranty | 5-Year Limited Warranty |</p>","Asgard 12"" Power Assist Finishing Box reduces operator fatigue by 50% using an integrated spring-assist mechanism, delivering consistent, professional-grade compound application on flat seams and butt joints.",456.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa12-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa12-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa12-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pa12-ad_03.webp,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard PA12-AD, 12 inch finishing box, drywall flat box, power assist finishing box, drywall tools",6,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1,"Asgard 12"" Power Assist Box (PA12-AD) | Reverse Spring Assist","Improve efficiency with the Asgard 12"" Power Assist Finishing Box ($456). Features a reverse-spring mechanism for 50% less effort on drywall joint compound."
Asgard,AH25-AD,AH25-AD,"Asgard 2.5"" Angle Head (AH25-AD)",simple,"<p><strong>Asgard 2.5"" Angle Head (AH25-AD)</strong> delivers professional-grade precision for finishing internal drywall corners. This contractor-grade tool simultaneously feathers joint compound on both sides of a 90-degree corner, ensuring a clean, uniform finish in a single pass. Engineered for high-volume job sites, it effectively wipes down excess compound following a corner roller, significantly reducing the need for manual sanding and touch-up work.</p><p>Built to withstand rigorous daily use, this angle head features a corrosion-resistant die-cast aluminum body paired with durable stainless steel frames and skids. Its integrated easy-roll wheels with rubber tires minimize friction, while the patented positive ball retainer ensures a secure connection to your handle or applicator, preventing accidental disconnects during operation.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Sided Precision:</strong> Simultaneously feathers both sides of an internal corner for a symmetrical, high-quality finish.</li><li><strong>Durable Construction:</strong> Features a corrosion-resistant die-cast aluminum body with stainless steel frames and skids for long-term reliability.</li><li><strong>Smooth Operation:</strong> Equipped with easy-roll rubber-tired wheels to reduce drag and ensure consistent performance across wall-to-wall and wall-to-ceiling transitions.</li><li><strong>Secure Attachment:</strong> Utilizes a patented positive ball retainer to keep the tool firmly attached to your handle or corner applicator.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Model | AH25-AD | | Tool Size | 2.5 inches | | Body Material | Die-cast Aluminum | | Frame/Skid Material | Stainless Steel | | Application | Internal corner finishing | | UPC | 0873876004539 |</p>","The Asgard 2.5"" Angle Head (AH25-AD) is a professional-grade corner finisher designed to feather joint compound on both sides of internal 90-degree corners in one pass. Featuring a durable die-cast aluminum body and stainless steel components, it provides a smooth, consistent finish for efficient drywall taping.",316.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_03.webp,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard AH25-AD, 2.5 inch angle head, drywall corner finisher, taping tool, internal corner tool",7,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1,"Asgard 2.5"" Angle Head (AH25-AD) | Die-cast Aluminum Body","Finish internal corners efficiently with the Asgard 2.5"" Angle Head ($316). Features a durable die-cast aluminum body for professional drywall results."
Asgard,AH30-AD,AH30-AD,"Asgard 3"" Angle Head (AH30-AD)",simple,"<p><strong>Asgard 3"" Angle Head (AH30-AD)</strong> is a professional-grade finishing tool engineered to streamline the application of joint compound in internal corners. By simultaneously feathering both sides of a 90-degree angle in a single pass, this unit significantly reduces labor time on wall-to-wall and ceiling transitions, ensuring a clean, consistent finish that minimizes sanding requirements.</p><p>The tool features a robust, spring-loaded design that compensates for minor framing irregularities, maintaining uniform pressure throughout the application. Users can customize the compound flow by engaging or disengaging the rear tension springs, providing the flexibility needed to adapt to varying compound consistencies and specific job site conditions.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Side Finishing:</strong> Applies and feathers joint compound on both sides of an internal corner simultaneously for maximum efficiency.</li><li><strong>Adjustable Tension:</strong> Integrated rear spring levers allow for precise control over pressure, accommodating different compound thicknesses.</li><li><strong>Precision Glide:</strong> Equipped with rubber-tired wheels to minimize surface drag and ensure smooth, consistent movement along the corner.</li><li><strong>System Compatibility:</strong> Designed for seamless integration with the CA08-AD corner applicator or for use with FH-AD/XH-AD handles via the CFA-AD adapter.</li><li><strong>Durable Construction:</strong> Built with high-quality aluminum and steel components to withstand the rigors of daily professional use.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | AH30-AD | | Tool Type | Angle Head / Corner Finisher | | Size | 3 inches | | Material | Aluminum and Steel | | Compatibility | CA08-AD, FH-AD, XH-AD (with CFA-AD adapter) |</p>","The Asgard 3"" Angle Head (AH30-AD) delivers professional, feathered internal corner finishes in a single pass. Featuring adjustable spring tension and smooth-rolling wheels, this durable tool ensures consistent results on wall-to-wall and ceiling joints.",338.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_03.webp,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard AH30-AD, 3 inch angle head, drywall corner finisher, automatic taping tools, internal corner tool",8,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1,"Asgard 3"" Angle Head (AH30-AD) | Adjustable Spring Tension","Finish internal corners efficiently with the Asgard 3"" Angle Head (AH30-AD). Features adjustable spring tension for $338. Perfect for professional drywall."
Asgard,NS03-AD,NS03-AD,"Asgard 3"" Nail Spotter (NS03-AD)",simple,"<p><strong>Asgard 3"" Nail Spotter (NS03-AD)</strong> provides a high-efficiency solution for finishing drywall fastener depressions. This tool fills dimples and removes excess joint compound in a single pass, ensuring a level, professional-grade surface across walls and ceilings.</p><p>Built for demanding job sites, the unit features a corrosion-resistant stainless steel body. The EasyClean® lid system, equipped with a quick-release latch and gasket, allows for rapid disassembly and thorough maintenance. A hardened steel skid plate serves as a smooth-gliding pivot point while acting as a protective barrier, identifying improperly set fasteners to prevent blade damage.</p><p><strong>Features:</strong></p><ul><li><strong>EasyClean® System:</strong> Quick-release latch and gasket design for fast, efficient cleanup.</li><li><strong>Durable Construction:</strong> Fabricated from premium stainless steel for long-term reliability.</li><li><strong>Integrated Skid Plate:</strong> Protects the blade from damage while providing a stable surface for smooth application.</li><li><strong>Fastener Detection:</strong> Skid plate design helps identify fasteners that are not set deep enough, preventing potential tool damage.</li><li><strong>Versatile Compatibility:</strong> Includes the NSA-TT adapter for seamless attachment to Asgard FHTT and XHTT handles.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Model | NS03-AD | | Material | Stainless Steel | | Included Adapter | NSA-TT | | Compatible Handles | FHTT, XHTT | | UPC | 873876004614 | | Set Includes | 3"" Nail Spotter, NSA-TT Adapter |</p>","The Asgard 3"" Nail Spotter (NS03-AD) efficiently fills and finishes drywall fastener depressions in one pass. Featuring a durable stainless steel body, an EasyClean® lid for rapid maintenance, and a protective hardened steel skid plate, this tool ensures consistent results while safeguarding the blade from improperly set screws.",270.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ns03-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ns03-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ns03-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ns03-ad_03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ns03-ad_04.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ns03-ad_05.webp,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard Nail Spotter, NS03-AD, drywall finishing tool, nail spotter, drywall fastener filler, automatic taping tools",9,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1,"Asgard 3"" Nail Spotter (NS03-AD) | Stainless Steel Body","Finish drywall fastener depressions efficiently with the Asgard 3"" Nail Spotter ($270). Features a durable stainless steel body and EasyClean® system."
Asgard,AH35-AD,AH35-AD,"Asgard 3.5"" Angle Head (AH35-AD)",simple,"<p><strong>Asgard 3.5"" Angle Head (AH35-AD)</strong> streamlines internal drywall corner finishing by feathering joint compound on both sides simultaneously. This precision-engineered tool ensures consistent, professional results across wall-to-wall and wall-to-ceiling junctions in a single pass.</p><p>Built for demanding job sites, the unit features a corrosion-resistant, die-cast aluminum body paired with a robust stainless steel frame. The integrated tension control system allows operators to adjust spring pressure, adapting the tool to varying compound consistencies and specific surface conditions.</p><p><strong>Features:</strong></p><ul><li><strong>Adjustable Tension:</strong> Fine-tune spring settings to control compound application and feathering depth.</li><li><strong>Dual-Side Finishing:</strong> Simultaneously feathers both sides of an internal corner for increased efficiency.</li><li><strong>EasyRoll Wheels:</strong> Rubber-tired wheels minimize friction, ensuring smooth and consistent movement.</li><li><strong>Secure Attachment:</strong> Positive ball retainer prevents accidental disconnects during operation.</li><li><strong>Versatile Compatibility:</strong> Integrates with standard corner applicators and supports handle attachments for extended reach.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Model | AH35-AD | | Tool Type | Angle Head / Corner Finisher | | Body Material | Die-cast Aluminum | | Frame Material | Stainless Steel | | Compatibility | CA08-AD, FH-AD, XH-AD (with CFA-AD adapter) | | UPC | 0873876004553 |</p>","Asgard 3.5"" Angle Head (AH35-AD) provides efficient, single-pass feathering for internal drywall corners. Features adjustable spring tension, durable die-cast aluminum construction, and smooth-rolling wheels for consistent compound application.",356.00,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_03.webp,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard 3.5 Angle Head, AH35-AD, drywall corner finisher, angle head drywall tool, joint compound feathering",10,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,Brand,Asgard,1,1,"Asgard 3.5"" Angle Head (AH35-AD) | Die-Cast Aluminum Body","Finish internal drywall corners efficiently with the $356 Asgard 3.5"" Angle Head. Features adjustable tension and durable die-cast aluminum construction."
